name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
M.Griffin,00-0025406,no,TEN,FS,20,2,,2,,0,1,,3,,,7,,2,,1,-10,,57,3,11,1,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,69,,76,6,0,143,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Bironas,00-0020962,no,TEN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,32,1,27,1055,5,224,642,7,,81,81,7,37,0,37,0,37,5186,,,,,,,,,,,,,,,,,,,,,,,40,,0,40,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,
S.Logan,00-0026491,no,PIT,,5,,,,,,,,,,,,,,,,,,6,,1,,2,2,1,,0,,,,3,0,0,,,,,,,,,,,,,,,,,,,401,,579,55,0,1466,,,,,,,,,,,,,,,,,,,,,,,,,131,16,195,30,0,30,285,5,1,1,0,0,0,,9,5,,,,,,,
C.Hope,00-0021219,no,TEN,,14,1,,,,,3,,24,,,7,,3,,2,-14,,67,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Ward,00-0017162,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,,,,,,,,,,,,,,,,394,95,137,6,0,0,,387,1167,,,,,,,
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,1,1,,-4,6,1,-4,,,,,,,,,,,,,,,,,,,,,,,,,506,337,2533,169,2015,12,12,50,-348,26,0,0,,4328,2,10,,,,,,,,,,,,,,,,,,,,,,,,,41,83,2,0,0,,79
S.Tulloch,00-0024331,no,TEN,MLB,27,0,,1,,0,0,,,,,1,,5,,2,-16,,94,9,33,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Parker,00-0022250,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,55,6,7,1,0,0,,38,64,98,150,0,0,0,,389
M.Wallace,00-0026901,no,PIT,WR,,,,,,,,,,,,,,,,,,,3,,1,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,26,,26,1,0,26,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,486,39,72,6,0,0,,143,756,5,42,0,0,0,,48
D.Sepulveda,00-0025499,no,PIT,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,,29,815,72,72,4,3074,,,,,,,,,,,,,,,,,,,,,,,
J.Farrior,00-0005082,no,PIT,,34,1,,1,,1,1,,18,,,5,,6,,3,-21,,68,4,13,,,0,,,0,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Keisel,00-0021344,no,PIT,,18,1,,2,,0,0,,,,,2,,5,,3,-21,,36,4,9,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Johnson,00-0026164,no,TEN,RB,1,,,,,,,,,,,,,,,,,,3,,,,3,3,,,1,1,,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,3,,0,,,0,0,0,,0,2,10,,,,,,,,,,,,,,,,301,50,71,2,0,0,,542,503,358,616,14,1,1,,2006
T.Polamalu,00-0022119,no,PIT,,2,0,,,,,3,,17,,,7,,,,0,,,18,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Collins,00-0003292,no,TEN,,,,,,,,,,,,,,,,,,,,1,,,,,2,3,,1,1,,-4,3,1,-4,,,,,,,,,,,,,,,,,,,,,,,,,216,119,667,97,1075,8,8,5,-37,6,1,0,1,1225,2,15,,,,,,,,,,,,,,,,,,,,,,,,,12,15,1,0,0,,15
A.Hall,00-0024489,no,TEN,,1,,,,,,,,,,,,,,,,,,5,,1,,2,2,,,0,,,,2,0,0,,,,,,,,,,,,,,,,,,,12,,12,1,0,12,,,,,,,,,,,,,,,4,35,,,,,,,,,,,,,,,,71,12,16,0,0,0,,68,79,1,5,0,0,0,,5
C.Hentrich,00-0007308,no,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,3,116,9,9,,422,,,,,,,,,,,,,,,,,,,,,,,
W.Hayes,00-0026243,no,TEN,DE,20,2,,,,,0,,,,,,,11,,4.0,-49,,31,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Holmes,00-0024240,no,PIT,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,34,1,1,,,0,0,0,,0,1,10,,,,,,,,,3,1,3,2,0,2,6,449,79,138,5,0,0,,483,1248,3,6,0,0,0,,6
J.Jones,00-0026194,no,TEN,DE,6,0,,,,,0,,,,,5,,7,,4,-29,,9,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Miller,00-0023465,no,PIT,TE,2,,,,,,,,,,,,,,,,,,4,,,,2,0,,1,0,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,65,,,,,,,,,,,,,,,,303,76,98,6,0,0,,431,789,,,,,,,
C.Finnegan,00-0024429,no,TEN,DB,7,0,,,,,5,1,194,,,11,,,,0,,1,56,,10,,,0,1,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,68,,,,,,,,,3,1,11,4,0,4,14,,,,,,,,,,,,,,,,
B.Scaife,00-0023612,no,TEN,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,195,45,70,1,0,0,,182,440,,,,,,,
R.Clark,00-0020840,no,PIT,,20,0,,,,,3,,0,,,8,,,,0,,,68,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Crumpler,00-0020285,no,TEN,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,20,,20,3,0,20,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,115,27,37,1,1,0,1,97,222,,,,,,,
R.Mendenhall,00-0026163,no,PIT,,,,,,,,,,,,,,,,,,,,2,,,,3,3,,,1,1,,0,3,1,0,,,,,,,,,,,,,,,,,,,8,,8,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,25,32,1,0,0,,228,261,242,324,7,0,0,,1108
J.Ford,00-0025591,no,TEN,,6,1,,,,,0,,,,,1,,11,,5.5,-30,,16,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vickerson,00-0023648,no,TEN,,8,0,,,,,0,,,,,3,,7,,0,,,20,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Bulluck,00-0019648,no,TEN,,27,0,,1,,0,3,,45,,,7,,,,0,,,81,3,28,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brown,00-0021490,no,TEN,,10,3,,1,,0,0,,,,,1,,11,,5,-33,,28,8,5,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Stewart,00-0023548,no,TEN,,,,,,,,,,,,,,,,,,,,2,,1,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Fox,00-0022697,no,PIT,,13,0,,1,,5,1,1,82,,,1,,,,0,,1,31,1,7,,,0,,,0,,,,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.White,00-0024260,no,TEN,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,5,0,0,0,,14,14,64,70,2,0,0,,222
C.Hampton,00-0020426,no,PIT,,20,0,,,,,0,,,,,,,3,,2.5,-26,,23,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
