name,id,home,team,pos,defense_ast,defense_ffum,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
J.Hanson,00-0006800,yes,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,22,1,54,22,,3,3,,1,0,1,0,1,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.McBride,00-0025441,yes,DET,,1,1,,,,0,,,,,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Nelson,00-0026176,no,GB,WR,,,,,,,,,,,,,,,,,1,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,21,,21,2,0,42,,,,,,,,,,,,,,,,,,,,,,,,2,,7,3,0,3,8,19,1,2,0,0,0,0,19,,,,,,,
J.Dizon,00-0026185,yes,DET,,1,0,1,,0,0,,,,,,,,0,,,3,,,,0,,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hawk,00-0024220,no,GB,OLB,2,0,,,,0,,,,,,,,0,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Smith,00-0026204,yes,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,7,0,0,0,45,46,18,6,0,0,0,,43
M.Stafford,00-0026498,yes,DET,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,20,80,23,149,4,4,2,-14,1,0,0,213,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,0,0,,21
B.Pettigrew,00-0026996,yes,DET,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,1,0,0,0,11,12,,,,,,,
C.Johnson,00-0025389,yes,DET,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,12,1,0,0,1,10,,,,,,,
C.Matthews,00-0027002,no,GB,ILB,1,0,,,,0,,,,,,1,,1,-8,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
