name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
C.Roby,00-0023503,no,NO,,,,,2,,0,,,,,,,,,,,,,10,,,,1,1,,,0,,,,1,2,0,,,,,,,,,,,,,,,,,,,295,,352,0,33,0,785,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Farwell,00-0023215,no,MIN,,2,0,,,,,0,,,,,,,,,0,,,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Longwell,00-0010072,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,17,534,1,39,453,7,,65,51,3,31,1,30,1,30,4047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Abdullah,00-0025940,no,MIN,FS,23,0,,,,,3,,5,,,7,,,,0,,,54,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Brees,00-0020531,no,NO,QB,,,,,,,,,,,,,,,,,,,1,,,,6,2,3,,5,5,,0,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,659,449,2560,210,2322,22,22,26,-195,33,0,0,,4634,3,23,,,,,,,,,,,,,,,,,7,0,1,1,0,0,0,,16,7,18,8,0,0,0,0,,-3
M.Colston,00-0024466,no,NO,WR,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,67,84,131,7,0,0,,285,1022,1,1,0,0,0,0,,1
E.Henderson,00-0022081,no,MIN,,36,1,,1,,0,3,,6,,,4,,3,,1,-9,,70,7,12,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Moore,00-0023310,no,NO,WR,,,,,,,,,,,,,,,,,,,4,,,,1,1,1,,0,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,16,112,0,11,0,11,112,355,191,67,95,8,0,0,,298,777,,,,,,,,
L.Sheppard,00-0021157,no,MIN,,3,0,,,,,0,,,,,4,,,,0,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Bush,00-0024217,no,NO,RB,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,2,2,,0,2,2,0,,,,,,,,,,,,,,,,,,,35,,31,0,1,0,35,,,,,,,,,,,,,,,,,,,,,,,,,43,2,82,0,14,0,14,92,106,6,34,42,1,0,0,,200,208,36,61,0,0,0,0,,150
M.Williams,00-0022842,no,MIN,,25,1,,,,,1,,0,,,2,,1,,0.5,-9,,51,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Allen,00-0027058,no,MIN,,15,0,,,,,2,,27,,,7,,,,0,,,45,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Henderson,00-0022929,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,27,0,6,0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,29,34,59,1,0,0,,130,464,3,8,0,0,0,0,,8
G.Hartley,00-0025824,no,NO,K,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,25,,20,731,5,167,486,5,,37,60,5,40,0,40,0,40,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,3,,,,,1,1,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,12,36,50,1,0,0,,330,341,283,364,137,12,0,0,,1298
R.Harper,00-0024258,no,NO,SS,22,6,,1,,0,1,,6,,,8,,9,,3,-33,,76,5,18,,1,1,,,0,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,5,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Vilma,00-0022778,no,NO,,33,3,,1,,0,1,,5,,,3,,8,,4,-51,,71,6,19,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Shanle,00-0022040,no,NO,,21,1,,1,,0,0,,,,,2,,2,,0,,,55,2,11,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
