name,id,home,team,pos,defense_ast,defense_ffum,defense_frec,defense_frec_yds,defense_int,defense_int_yds,defense_pass_def,defense_qbhit,defense_sk,defense_sk_yds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_all_yds,kicking_fga,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_yds,penalty,penalty_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
S.Hauschka,00-0025944,yes,SEA,K,,,,,,,,,,,,,,,,,,,,,,,,288,3,3,113,,,49,1,,6,9,4,2,0,2,0,2,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Mebane,00-0025472,yes,SEA,DT,2,0,,,0,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Robinson,00-0030348,no,NO,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1,1,0,0,0,14,13,13,17,1,1,0,0,57
C.Clemons,00-0021577,yes,SEA,DE,1,0,,,0,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sproles,00-0023564,no,NO,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,25,0,2,0,43,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,14,0,5,6,0,0,0,26,32,3,1,0,0,0,0,2
K.Chancellor,00-0027733,yes,SEA,SS,10,0,,,0,,2,,0,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Brees,00-0020531,no,NO,QB,,,,,,,,,,,,,,,1,0,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,43,24,204,19,143,,0,1,-8,1,0,0,309,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Ingram,00-0027966,no,NO,RB,,,,,,,,,,,,,,,1,1,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,10,12,0,0,1,1,49
T.Morstead,00-0027114,no,NO,P,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,1,,2,,1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,38,2,55,4,4,,155,,,,,,,,,,,,,,,,,,,,,,,,
R.Humber,00-0026672,no,NO,OLB,2,0,,,0,,,,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Lynch,00-0025399,yes,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,3,0,0,0,1,3,28,31,31,2,0,0,140
B.Bunkley,00-0024229,no,NO,,3,0,,,0,,,,0,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Wilson,00-0029263,yes,SEA,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9,78,9,79,,0,3,0,0,0,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,0,0,0,16
M.Jenkins,00-0026990,no,NO,FS,4,0,,,0,,,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Harper,00-0024258,no,NO,SS,3,0,,,0,,,,0,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Harvin,00-0026998,yes,SEA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,3,4,0,0,0,4,21,1,9,0,0,0,0,9
